,life_science_top_or_not,difference
513,0,-61.0
524,0,-45.266666666666666
233,0,-39.0
262,0,-38.0
516,0,-36.0
596,0,-30.0
220,0,-29.588235294117645
258,0,-29.0
187,0,-27.77777777777778
279,0,-26.0
357,0,-24.0
366,0,-24.0
286,0,-23.0
391,0,-23.0
281,0,-22.0
283,0,-22.0
490,0,-21.0
36,0,-20.0
253,0,-19.0
270,0,-19.0
241,0,-18.5
383,0,-18.5
386,0,-18.333333333333332
141,0,-18.0
275,0,-18.0
35,0,-17.0
521,0,-17.0
207,0,-16.25
154,0,-16.0
426,0,-16.0
452,0,-16.0
532,0,-16.0
92,0,-15.0
526,0,-15.0
475,0,-14.5
173,0,-14.0
276,0,-14.0
563,0,-14.0
97,0,-13.142857142857142
25,0,-13.0
140,0,-13.0
280,0,-13.0
470,0,-13.0
562,0,-13.0
438,0,-12.5
561,0,-12.0
578,0,-12.0
566,0,-11.666666666666668
308,0,-11.0
388,0,-11.0
242,0,-10.666666666666666
252,0,-10.666666666666666
204,0,-10.588235294117645
263,0,-10.5
182,0,-10.0
237,0,-10.0
243,0,-10.0
249,0,-10.0
307,0,-9.5
13,0,-9.333333333333334
407,0,-9.333333333333332
191,0,-9.0
324,0,-9.0
384,0,-8.666666666666666
172,0,-8.454545454545455
323,0,-8.333333333333332
217,0,-8.0
335,0,-8.0
389,0,-8.0
397,0,-8.0
425,0,-8.0
601,0,-8.0
493,0,-7.5
363,0,-7.333333333333332
116,0,-7.0
269,0,-7.0
309,0,-7.0
331,0,-7.0
411,0,-7.0
480,0,-7.0
570,0,-7.0
206,0,-6.75
467,0,-6.666666666666667
34,0,-6.333333333333333
67,0,-6.333333333333333
31,0,-6.0
60,0,-6.0
118,0,-6.0
152,0,-6.0
239,0,-6.0
247,0,-6.0
310,0,-6.0
355,0,-6.0
418,0,-6.0
439,0,-6.0
462,0,-6.0
587,0,-6.0
238,0,-5.666666666666666
37,0,-5.5
402,0,-5.25
7,0,-5.0
11,0,-5.0
59,0,-5.0
88,0,-5.0
523,0,-5.0
535,0,-5.0
362,0,-4.5
551,0,-4.5
538,0,-4.399999999999999
131,0,-4.0
219,0,-4.0
278,0,-4.0
345,0,-4.0
365,0,-4.0
393,0,-4.0
459,0,-4.0
236,0,-3.6666666666666665
44,0,-3.333333333333333
582,0,-3.25
4,0,-3.0
119,0,-3.0
127,0,-3.0
142,0,-3.0
340,0,-3.0
354,0,-3.0
378,0,-3.0
581,0,-3.0
413,0,-2.666666666666667
148,0,-2.666666666666666
200,0,-2.5
488,0,-2.5
28,0,-2.333333333333333
344,0,-2.25
6,0,-2.0
49,0,-2.0
65,0,-2.0
108,0,-2.0
137,0,-2.0
272,0,-2.0
288,0,-2.0
369,0,-2.0
448,0,-2.0
485,0,-2.0
487,0,-2.0
592,0,-2.0
305,0,-1.5
465,0,-1.3333333333333335
107,0,-1.0
124,0,-1.0
129,0,-1.0
133,0,-1.0
169,0,-1.0
171,0,-1.0
210,0,-1.0
222,0,-1.0
318,0,-1.0
329,0,-1.0
359,0,-1.0
455,0,-1.0
296,0,-0.5
479,0,-0.5
525,0,-0.5
9,0,0.0
16,0,0.0
63,0,0.0
100,0,0.0
104,0,0.0
211,0,0.0
350,0,0.0
444,0,0.0
461,0,0.0
495,0,0.0
497,0,0.0
508,0,0.0
314,0,0.3333333333333335
176,0,0.3333333333333339
250,0,0.5
254,0,0.5
261,0,0.5
57,0,1.0
62,0,1.0
80,0,1.0
84,0,1.0
159,0,1.0
181,0,1.0
228,0,1.0
339,0,1.0
372,0,1.0
412,0,1.0
483,0,1.0
529,0,1.0
531,0,1.0
543,0,1.0
556,0,1.0
598,0,1.0
558,0,1.25
291,0,1.5
504,0,1.5
128,0,1.666666666666667
441,0,1.75
507,0,1.75
358,0,1.7999999999999998
46,0,2.0
157,0,2.0
356,0,2.0
500,0,2.0
503,0,2.0
517,0,2.0
590,0,2.0
594,0,2.0
17,0,2.5
29,0,2.5
472,0,2.666666666666667
477,0,2.7777777777777777
20,0,3.0
47,0,3.0
81,0,3.0
185,0,3.0
376,0,3.0
379,0,3.0
403,0,3.0
414,0,3.0
491,0,3.0
553,0,3.0
588,0,3.0
325,0,3.5
53,0,4.0
56,0,4.0
111,0,4.0
130,0,4.0
460,0,4.0
534,0,4.0
202,0,4.5
347,0,4.5
481,0,4.75
66,0,5.0
113,0,5.0
175,0,5.0
212,0,5.0
226,0,5.0
320,0,5.0
337,0,5.0
548,0,5.0
126,0,5.5
352,0,5.5
392,0,5.666666666666666
110,0,6.0
229,0,6.0
300,0,6.0
474,0,6.0
537,0,6.0
2,0,7.0
58,0,7.0
214,0,7.0
322,0,7.0
405,0,7.0
492,0,7.0
574,0,7.0
40,0,7.5
